"1" "2" "3" "4" "5" "6"
"ENSG00000205116" 3.05549580044638e-07 2.20520813022853e-08 4.07560712873834e-14 9.21064340648794e-14 3.30640367337617e-13 8.22145173678764e-13
"ENSG00000179403" 4.4272298261636e-07 1.58759994902586e-05 3.53116591738298e-06 1.77555289334777e-05 4.50449142528248e-05 3.55476556563588e-05
"ENSG00000215915" 1.36268347291684e-06 6.51918694996875e-07 1.28381197670399e-07 1.3203509613194e-06 2.93619342882669e-13 6.5613020636525e-13
"ENSG00000160072" 1.2496010290926e-05 7.0478886883484e-06 2.45514570634085e-07 5.06296607809298e-06 2.21912846316294e-05 1.15866476808971e-12
"ENSG00000197785" 8.52694675286642e-07 1.61667230453578e-05 9.98836901513758e-06 2.88941883467954e-06 1.76444560896906e-05 3.75367469014007e-12
"ENSG00000205090" 4.46550960103415e-14 4.02618263549497e-14 5.96592610159655e-13 9.99747425870464e-14 1.83436559196382e-13 2.54909718809893e-07
"ENSG00000160075" 0.000168416545892631 0.000218954355697776 0.000174209873376564 6.89130226370521e-05 0.000181466371053193 6.47190291382349e-12
"ENSG00000215014" 1.86367162777966e-06 4.15481241524919e-06 8.53144311651389e-14 1.39736952562323e-13 5.81295401350815e-08 6.27416374221705e-13
"ENSG00000228594" 1.87005772063081e-06 1.31631599867439e-05 7.80154079755958e-06 5.61976115699258e-06 1.62149912330675e-05 2.03970106800333e-10
"ENSG00000197530" 2.99484226249528e-13 3.68166055855523e-06 3.50469899751443e-06 5.03482790806354e-06 7.55535030882615e-09 8.0510936749288e-13
"ENSG00000189409" 2.08255516808342e-07 3.75781349114068e-14 8.93809974734172e-08 2.35368065533749e-13 7.05978356830617e-13 2.70002058894074e-09
"ENSG00000248333" 1.29890255528404e-05 4.57240946845317e-05 3.46658284047283e-05 3.74728720927316e-06 4.00306621815548e-05 0.000112382207136587
"ENSG00000189339" 1.11487922871834e-05 9.0962520873307e-06 8.73858057540739e-06 1.46013161359141e-05 2.61310323913855e-05 7.68946317374956e-05
"ENSG00000008128" 5.37320411705982e-05 4.07282080632893e-05 2.6780631646096e-05 4.94488199561378e-05 2.82187305011759e-11 1.18084724388358e-11
"ENSG00000215790" 1.69801216871886e-13 1.00381642520243e-13 3.58129935439349e-11 2.36396009974253e-06 5.42534594537828e-07 8.61154677604485e-06
"ENSG00000008130" 6.50463534225506e-06 9.22731807546076e-06 1.0782115371581e-05 1.16449977888042e-05 4.4368223394923e-06 9.91217569200066e-06
"ENSG00000078369" 0.000270781674628573 0.00032082566903944 0.000260622154122714 0.00013785325632953 0.000255308887476575 1.60553677538286e-08
"ENSG00000169885" 1.33301548525395e-13 2.42052337446934e-08 5.97583260310231e-14 1.30597353313575e-13 6.15431443249586e-14 4.62408566478381e-13
"ENSG00000178821" 1.79946959284336e-13 1.37273278540475e-05 5.46705814663815e-06 4.12504475772713e-13 5.8063164366808e-13 1.65637894515551e-05
"ENSG00000142609" 3.34269872464763e-11 8.72729496727271e-14 1.16491839160669e-08 1.29496078950536e-13 2.27687570331323e-13 3.47922392177384e-07
"ENSG00000187730" 3.57305353242539e-07 4.41878870238507e-14 1.35715400953372e-07 2.50392386483036e-13 1.74156329504922e-13 3.47290668204224e-06
"ENSG00000067606" 6.49914222411337e-06 4.28277341831793e-06 3.43726551327348e-07 1.44785396763988e-08 3.22076157498853e-06 4.48988478766406e-06
"ENSG00000162585" 1.3238890208334e-13 2.88500903447379e-05 1.31142887920075e-05 1.24807782533446e-05 5.71935514469346e-06 5.36188218876431e-06
"ENSG00000203301" 5.80732690948479e-13 3.56895109844771e-07 1.32786674710692e-11 1.91759117609064e-07 2.12144128455463e-13 7.32998980174512e-06
"ENSG00000157933" 1.45627449484279e-05 1.7563056705984e-05 5.16504898966023e-06 2.1993760754436e-05 3.33136231769293e-05 1.15175076692791e-11
"ENSG00000116151" 5.03477388577321e-13 3.50095945442077e-06 9.49557509109199e-07 1.25640122192959e-06 1.89724923970085e-06 1.01448605849668e-05
"ENSG00000157916" 3.3116138782499e-05 9.00063219334337e-05 3.2430059620379e-05 6.86029863921254e-05 7.07830981680789e-05 0.00011578363319283
"ENSG00000157911" 3.64875391775221e-06 1.99163733944968e-06 8.67925755579951e-07 6.67773757763178e-13 6.40357512818967e-06 1.47624404728669e-06
"ENSG00000149527" 6.96380694768168e-08 3.35608011380475e-07 6.16396173990221e-08 1.32777372224502e-13 1.12558435669726e-12 1.56963160484021e-08
"ENSG00000157881" 5.5011281046629e-06 2.06412759332102e-07 6.20581887466313e-13 1.84244009375441e-05 7.11318008630989e-06 9.16296010439218e-13
"ENSG00000197921" 4.66216854594383e-14 2.20874609705148e-07 3.23431905004827e-14 1.82422216781812e-13 7.15406010868151e-14 6.59154146703107e-13
"ENSG00000157870" 7.82118965020139e-06 1.05347114565045e-05 6.13619101547541e-06 9.62439687621118e-06 2.99777560057549e-05 2.30746175613596e-05
"ENSG00000142606" 7.3650755003627e-14 9.07692658486753e-09 2.98887364391735e-14 1.65472553022639e-13 6.1580238519827e-14 3.27011129875926e-13
"ENSG00000215912" 1.15150853018724e-06 1.06666023259711e-06 2.88912645322728e-13 3.39387955272226e-13 2.74792947741762e-13 2.17770468576103e-13
"ENSG00000169717" 3.16820616501054e-14 7.59446155286922e-07 3.10161037535363e-14 8.23276508028251e-14 5.86155133180416e-14 2.71067296499212e-13
"ENSG00000142611" 2.85044472729275e-07 6.578122779711e-14 5.21809370578094e-14 2.37903289019496e-13 1.11322925219415e-06 1.31064115362562e-11
"ENSG00000130762" 2.13569530049682e-06 7.9663624773178e-06 4.49190027066391e-06 4.82960318163378e-06 1.43253286111604e-05 2.37991185737923e-12
"ENSG00000162591" 9.06162154871669e-14 2.09058036166023e-06 7.59259478678204e-14 1.93645188447377e-13 1.34090859851608e-13 7.16837260320432e-06
"ENSG00000158109" 2.77631377894164e-05 1.63985665174056e-05 1.1674516468069e-05 1.96441703407249e-12 7.95109512025457e-05 4.49792976412894e-05
"ENSG00000116213" 6.62852922790523e-06 1.92720048979498e-05 6.83317214515467e-06 8.67316081942303e-06 2.6094896468934e-05 2.20968143389422e-05
