"1" "2" "3" "4" "5" "6" "7"
"ENSG00000235098" 9.83421580553802e-12 5.54835519139949e-07 2.23173704031036e-12 1.66261969193268e-09 1.44171089512183e-06 5.27797898964517e-06 9.51306187609577e-07
"ENSG00000205116" 1.40589646012053e-11 1.30823561166336e-12 4.55796887420765e-10 6.81050207291398e-07 6.52713797430201e-07 1.12314299921789e-07 4.49714237973002e-12
"ENSG00000179403" 1.06310053090675e-10 6.77386191581188e-06 4.6512628966532e-05 2.49290664755749e-05 3.80612768743916e-05 1.92386747656704e-05 4.80564419765578e-05
"ENSG00000215915" 3.25128392087563e-09 7.35941001962551e-07 4.18335970647894e-12 5.65932983645159e-06 3.68497786422095e-06 6.4936465040007e-10 4.26516690512493e-06
"ENSG00000160072" 7.20694783080421e-09 5.03819809306241e-06 2.91450362818078e-05 4.08528474431335e-05 3.78052336672477e-05 8.84504229188287e-06 1.90030272878038e-05
"ENSG00000197785" 1.94559359569723e-05 2.07494084271561e-05 2.69500754413697e-05 1.59841078557519e-05 1.84075759310186e-05 6.85294764895556e-06 7.83550572503068e-11
"ENSG00000205090" 1.64237348514107e-12 6.40165472115876e-13 1.70991388550659e-12 1.68459440485408e-12 2.40962356815911e-12 2.18649106336911e-07 5.26609163555598e-07
"ENSG00000160075" 0.000231484440736812 0.000214630315502856 0.000257423717355568 6.70563657631635e-05 0.000244631342200187 6.81567058885113e-05 1.35305657049386e-05
"ENSG00000215014" 9.54565944814784e-09 3.53627657527547e-06 3.29488767648114e-07 2.34604628965645e-06 8.35868019238528e-12 3.79551130877359e-11 5.55315848892485e-06
"ENSG00000228594" 1.13186726411724e-05 1.32440080042105e-05 1.38836500226285e-05 3.01429785911575e-11 5.97222934930843e-06 1.53522590044188e-05 3.40054638107993e-06
"ENSG00000197530" 7.01292192930883e-06 2.61507087334788e-06 6.53638453720042e-06 2.49514279651523e-11 1.04574875432253e-05 4.89117657073765e-06 3.688294373381e-11
"ENSG00000189409" 4.49380649708787e-08 6.69725028598066e-13 9.73357422691871e-12 1.55676228435032e-06 4.15234335661882e-12 1.92252861066465e-06 7.60756021640156e-12
"ENSG00000248333" 4.19226160336715e-05 4.15382785549236e-05 5.32386110163628e-05 1.33031503444897e-05 5.64734964989161e-05 3.81251483722929e-05 3.77627750643554e-05
"ENSG00000189339" 1.34278945147343e-05 1.9369224381916e-05 3.14424784157331e-05 2.85132595234011e-05 3.85006125338173e-06 4.25244079647276e-05 7.65337808458851e-05
"ENSG00000008128" 3.87958015968373e-05 6.0396401280788e-05 4.2570472960295e-05 8.41531142861859e-05 3.05170401972677e-05 5.50216841000578e-05 5.98327936165856e-05
"ENSG00000215790" 1.29208683271321e-06 1.01693272379478e-06 3.53669740165e-06 2.0208756799945e-11 2.36864471924311e-11 7.67102054917341e-06 6.09375053218583e-07
"ENSG00000008130" 1.3894580400306e-05 1.30768410087425e-05 1.49733237118132e-05 2.6349093948847e-05 1.67762059666304e-05 2.59950836985723e-05 9.60990462648205e-06
"ENSG00000078369" 0.00025176490768003 0.000280076256039598 0.000311603933472198 0.000196345230006358 0.00025542804792174 0.000183674709915733 0.000151273574535914
"ENSG00000169885" 5.16666032646737e-13 1.52408343814188e-07 2.34819796292043e-12 2.24774912380119e-12 2.93685199695174e-12 2.13949811996481e-12 2.74895942325123e-12
"ENSG00000178821" 6.36533093789744e-06 7.76652538583296e-06 3.03541259596313e-09 5.54106766365944e-06 2.74056641856657e-05 2.01905897191773e-06 1.93542700526787e-06
"ENSG00000142609" 7.17726841633091e-08 1.12646786651562e-08 1.93235290049071e-12 3.63443421228644e-07 4.90277380200313e-11 1.90428845388788e-07 1.51858942420768e-06
"ENSG00000187730" 4.28513773142939e-12 7.58979288250741e-13 2.75322714184291e-12 2.99732183552819e-06 4.23163067944794e-12 2.98604841870524e-06 3.92205397419222e-12
"ENSG00000067606" 1.17080509765931e-06 2.27003196311162e-06 9.57041629819487e-06 1.43742461862459e-05 1.2894867432547e-05 6.86580490028806e-07 1.01562505043816e-09
"ENSG00000162585" 8.47392195621428e-08 2.27149268431628e-05 1.81226381431624e-05 3.1003391086167e-05 0.000152376337531703 3.36900639462891e-05 5.92326092140101e-05
"ENSG00000203301" 1.80079407989841e-12 3.05886076514602e-12 5.94177277307383e-07 3.21512422135819e-06 1.27883779689086e-06 3.22897236538455e-12 3.32601387205809e-06
"ENSG00000157933" 2.92943964875331e-05 2.65966611191455e-05 6.93829686223116e-05 3.08001918078102e-11 1.02961739657393e-06 1.38580192292631e-06 4.39128987472281e-05
"ENSG00000116151" 8.98685302437188e-07 2.27187083571818e-06 7.37354065018401e-06 1.27765429399993e-10 3.20362033873479e-06 2.21810179036629e-06 3.83624104188866e-06
"ENSG00000157916" 6.26333947593116e-05 7.03303574049454e-05 0.000103915480092333 2.02268670476677e-05 0.000137652281395862 4.52833948838998e-05 2.77791649403649e-05
"ENSG00000157911" 1.94834602643885e-10 1.84176077862834e-06 9.7034987371536e-06 8.97019217017622e-06 4.05251759350295e-06 6.25173188444469e-06 9.79912354700628e-12
"ENSG00000149527" 2.87428460001267e-12 2.50047773745067e-07 3.91051553506057e-12 5.04072549003925e-07 9.32613218058358e-12 2.99161632530931e-12 1.86025110186619e-06
"ENSG00000157881" 1.60885433250943e-07 3.20465246909705e-06 1.98091066864369e-05 1.16028522304623e-05 3.77510409914466e-11 1.69522728696197e-05 1.99495798000523e-05
"ENSG00000197921" 4.62216974705254e-13 4.57225940825601e-07 5.14992349972813e-12 1.79554252688226e-12 2.1691367356759e-12 2.25152517562137e-12 2.76607911049792e-12
"ENSG00000157870" 5.40849527189269e-06 8.11775296635932e-06 1.82981684658024e-05 3.21667317376837e-05 2.38122758703365e-05 5.48141469217364e-06 3.3190050894061e-05
"ENSG00000142606" 4.84227113085995e-13 7.62029745687602e-08 5.28906108117413e-12 1.76813950082068e-12 2.00801234853909e-12 1.99321204913059e-12 2.18610843287744e-12
"ENSG00000215912" 2.04242551536763e-12 7.1102972668889e-07 2.38083599429867e-12 3.71201272048025e-06 1.05870196279409e-11 4.68687433263558e-08 4.63793562443928e-12
"ENSG00000169717" 4.56481731089083e-13 1.89207240057346e-12 1.26012581379202e-12 1.91121918541094e-12 1.67540102555194e-06 1.93671115584351e-12 3.19406982072123e-12
