"1" "2" "3" "4" "5" "6" "7"
"ENSG00000176022" 3.50191843161584e-11 5.30098038847971e-06 1.29283509880212e-05 1.95181222216113e-06 1.6158743415386e-05 2.87267488819865e-05 4.58526034135896e-05
"ENSG00000184163" 4.20819451358307e-14 4.42019540721471e-13 3.45723369421927e-08 4.10012935649116e-07 1.04359388890015e-13 6.96429738061903e-14 1.80931115528804e-13
"ENSG00000160087" 1.09484344425212e-05 3.60936686514176e-05 1.6372341220631e-05 2.39584943679635e-08 7.36142513337277e-13 1.77220394358765e-05 8.35487343507511e-05
"ENSG00000162572" 5.68704101564477e-07 1.4221401079206e-07 4.07828740946859e-13 2.25691740040956e-13 1.09256516655418e-06 2.01937798402008e-13 2.81553244740921e-13
"ENSG00000131584" 3.42861140827679e-13 4.80238748714548e-06 3.60660429001982e-06 5.69931655431401e-13 7.6420063142344e-06 5.62002112986676e-07 1.81358634563096e-12
"ENSG00000169972" 8.46398059940693e-06 2.82914887454466e-05 5.09088517128273e-06 9.84028419867354e-06 6.30778420025648e-13 1.33310039662137e-05 2.19437257334321e-12
"ENSG00000127054" 3.48535080641243e-05 7.35156410436644e-05 5.00262392647778e-05 4.25037008283556e-10 7.76633498797339e-06 2.87846396104237e-05 0.00010335870130003
"ENSG00000224051" 1.19471703560758e-06 4.26884640436271e-06 8.66358986212593e-06 2.45824146286149e-13 2.42511431108704e-06 5.3711596994072e-06 6.98194614212777e-06
"ENSG00000107404" 1.14974407517278e-12 1.68866748090942e-05 4.73012181757775e-07 8.36013443406071e-07 1.93559289293095e-05 1.74514945689565e-05 6.02665614653468e-05
"ENSG00000162576" 2.73584676268155e-13 7.97622128793343e-06 7.25535973299803e-06 5.90872798455599e-06 3.81448886022072e-13 6.91023008434534e-06 3.32377252391192e-05
"ENSG00000175756" 9.17392659751614e-05 0.000300954699988484 2.60711019408539e-05 4.25835897450249e-05 8.79384849109876e-11 0.000158670747665558 0.000300688114835651
"ENSG00000221978" 1.83465292794516e-05 3.44346588445278e-05 5.17531480073986e-05 1.60103844632128e-07 8.25422182858069e-05 9.5151004284715e-05 0.000121702544207463
"ENSG00000224870" 3.0575199262916e-06 3.12825726615309e-06 3.99558685480739e-11 1.88333810756489e-06 7.03277619600971e-07 3.15537327745566e-13 1.7851418854974e-12
"ENSG00000242485" 0.000593634674592402 0.000453417982055176 0.000387989195084679 0.000529480721829035 0.000193029382548064 8.61058383062121e-05 6.4402215963969e-12
"ENSG00000235098" 7.49783436667075e-14 1.2097042056814e-06 5.03342113308184e-14 7.5495116071871e-07 7.15928733743771e-14 2.09232339043739e-06 3.28631204892922e-13
"ENSG00000205116" 4.78122478579496e-14 1.48972037244755e-08 1.06116182403355e-07 7.81045538871188e-14 1.84806224633612e-13 8.26493659504897e-14 1.28120840359458e-06
"ENSG00000179403" 3.24076028343327e-06 1.56906761272408e-05 2.65398432897085e-05 3.67830481988255e-09 1.28924063803146e-05 3.05621071751739e-05 2.35737648369841e-05
