"1" "2" "3" "4" "5" "6"
"ENSG00000204624" 1.68091982684256e-06 2.03060967562903e-06 5.16559009112613e-10 7.15396018490699e-07 1.94320737899048e-06 2.03069954129657e-12
"ENSG00000116661" 2.59488267440492e-06 6.61615766652784e-06 6.6749206028596e-06 2.69655502610986e-06 2.81372770656621e-05 1.33420841463782e-05
"ENSG00000132879" 4.97692526515144e-06 1.16228155159455e-06 2.94873961225152e-06 1.77862102458956e-05 3.42758299468329e-06 2.79567658018395e-05
"ENSG00000116663" 7.060754030089e-07 5.87582746983366e-07 3.7195553295773e-13 1.75237765927894e-12 1.27580880901201e-06 5.69775982461029e-06
"ENSG00000116670" 0.000104399144499007 0.000166262882150282 0.00011557180359038 7.12249581115073e-05 0.000157863879778289 2.56870624245681e-11
"ENSG00000162490" 3.04386606395253e-05 5.00493648747515e-05 7.00211442982919e-05 4.43212060501406e-05 3.82774638399652e-05 0.000128828818486116
"ENSG00000177674" 9.72055460454086e-05 7.69186101365768e-05 0.00010166083362783 7.506868922165e-05 1.14467583427683e-06 0.000126361789472397
"ENSG00000215910" 1.04205655252686e-13 4.60129127512725e-14 2.89394445869342e-08 3.43650259059648e-08 8.71281948149205e-08 5.02072783428231e-13
"ENSG00000177000" 1.35522352619685e-05 1.47970775530468e-05 6.9304531663635e-07 1.64923865261364e-12 2.32389201544514e-05 4.7005041037625e-05
"ENSG00000011021" 1.61450083895608e-05 6.47610154723788e-06 2.45286673286548e-13 3.32499758763213e-05 3.37058746281293e-05 1.81643399525406e-05
"ENSG00000175206" 2.17739686103107e-06 3.7890819523688e-14 2.49520897679037e-13 3.42124620729531e-10 1.55837907630401e-06 3.17364142391609e-11
"ENSG00000116685" 1.60047679428269e-05 1.92706631934352e-05 2.53987654230207e-06 2.4094201586145e-05 4.80734535840175e-05 4.21676230072052e-05
"ENSG00000083444" 2.69818251187043e-05 1.4207189486979e-05 7.90897863861717e-13 7.27291671497174e-05 1.37775912890105e-05 1.00887010469455e-06
"ENSG00000116688" 4.72993829928716e-05 3.00204951950887e-05 1.98099454639349e-06 7.04465732966516e-05 0.000134132352839839 9.12294419627759e-11
"ENSG00000116691" 6.35735798295968e-05 7.99474345493149e-05 4.32588379728984e-05 3.90545510430021e-07 0.000137959078529537 0.000106764839683452
"ENSG00000120949" 1.95761982597597e-05 4.61117338497394e-13 1.54496958794267e-07 3.26499522559673e-05 2.82196859015925e-05 1.77808999061708e-05
